E_MeV,T_e_MeV,T_max_MeV,dsigma_nue_cm2_per_MeV,dsigma_nux_cm2_per_MeV
0.05,0.0,0.008183320118635231,1.0134643851277216e-44,2.1662634833573844e-45
0.05,0.1,0.008183320118635231,0.0,0.0
0.05,0.2,0.008183320118635231,0.0,0.0
0.05,0.30000000000000004,0.008183320118635231,0.0,0.0
0.05,0.4,0.008183320118635231,0.0,0.0
0.05,0.5,0.008183320118635231,0.0,0.0
0.05,0.6000000000000001,0.008183320118635231,0.0,0.0
0.05,0.7000000000000001,0.008183320118635231,0.0,0.0
0.05,0.8,0.008183320118635231,0.0,0.0
0.05,0.9,0.008183320118635231,0.0,0.0
0.05,1.0,0.008183320118635231,0.0,0.0
0.05,1.1,0.008183320118635231,0.0,0.0
0.05,1.2000000000000002,0.008183320118635231,0.0,0.0
0.05,1.3,0.008183320118635231,0.0,0.0
0.05,1.4000000000000001,0.008183320118635231,0.0,0.0
0.05,1.5,0.008183320118635231,0.0,0.0
0.05,1.6,0.008183320118635231,0.0,0.0
0.05,1.7000000000000002,0.008183320118635231,0.0,0.0
0.05,1.8,0.008183320118635231,0.0,0.0
0.05,1.9000000000000001,0.008183320118635231,0.0,0.0
0.05,2.0,0.008183320118635231,0.0,0.0
0.05,2.1,0.008183320118635231,0.0,0.0
0.05,2.2,0.008183320118635231,0.0,0.0
0.05,2.3000000000000003,0.008183320118635231,0.0,0.0
0.05,2.4000000000000004,0.008183320118635231,0.0,0.0
0.05,2.5,0.008183320118635231,0.0,0.0
0.05,2.6,0.008183320118635231,0.0,0.0
0.05,2.7,0.008183320118635231,0.0,0.0
0.05,2.8000000000000003,0.008183320118635231,0.0,0.0
0.05,2.9000000000000004,0.008183320118635231,0.0,0.0
0.05,3.0,0.008183320118635231,0.0,0.0
0.05,3.1,0.008183320118635231,0.0,0.0
0.05,3.2,0.008183320118635231,0.0,0.0
0.05,3.3000000000000003,0.008183320118635231,0.0,0.0
0.05,3.4000000000000004,0.008183320118635231,0.0,0.0
0.05,3.5,0.008183320118635231,0.0,0.0
0.05,3.6,0.008183320118635231,0.0,0.0
0.05,3.7,0.008183320118635231,0.0,0.0
0.05,3.8000000000000003,0.008183320118635231,0.0,0.0
0.05,3.9000000000000004,0.008183320118635231,0.0,0.0
0.05,4.0,0.008183320118635231,0.0,0.0
0.05,4.1000000000000005,0.008183320118635231,0.0,0.0
0.05,4.2,0.008183320118635231,0.0,0.0
0.05,4.3,0.008183320118635231,0.0,0.0
0.05,4.4,0.008183320118635231,0.0,0.0
0.05,4.5,0.008183320118635231,0.0,0.0
0.05,4.6000000000000005,0.008183320118635231,0.0,0.0
0.05,4.7,0.008183320118635231,0.0,0.0
0.05,4.800000000000001,0.008183320118635231,0.0,0.0
0.05,4.9,0.008183320118635231,0.0,0.0
0.05,5.0,0.008183320118635231,0.0,0.0
0.05,5.1000000000000005,0.008183320118635231,0.0,0.0
0.05,5.2,0.008183320118635231,0.0,0.0
0.05,5.300000000000001,0.008183320118635231,0.0,0.0
0.05,5.4,0.008183320118635231,0.0,0.0
0.05,5.5,0.008183320118635231,0.0,0.0
0.05,5.6000000000000005,0.008183320118635231,0.0,0.0
0.05,5.7,0.008183320118635231,0.0,0.0
0.05,5.800000000000001,0.008183320118635231,0.0,0.0
0.05,5.9,0.008183320118635231,0.0,0.0
0.05,6.0,0.008183320118635231,0.0,0.0
0.05,6.1000000000000005,0.008183320118635231,0.0,0.0
0.05,6.2,0.008183320118635231,0.0,0.0
0.05,6.300000000000001,0.008183320118635231,0.0,0.0
0.05,6.4,0.008183320118635231,0.0,0.0
0.05,6.5,0.008183320118635231,0.0,0.0
0.05,6.6000000000000005,0.008183320118635231,0.0,0.0
0.05,6.7,0.008183320118635231,0.0,0.0
0.05,6.800000000000001,0.008183320118635231,0.0,0.0
0.05,6.9,0.008183320118635231,0.0,0.0
0.05,7.0,0.008183320118635231,0.0,0.0
0.05,7.1000000000000005,0.008183320118635231,0.0,0.0
0.05,7.2,0.008183320118635231,0.0,0.0
0.05,7.300000000000001,0.008183320118635231,0.0,0.0
0.05,7.4,0.008183320118635231,0.0,0.0
0.05,7.5,0.008183320118635231,0.0,0.0
0.05,7.6000000000000005,0.008183320118635231,0.0,0.0
