E_MeV,shape
0.05,1.8196293050324167e-05
0.1,7.232955408932621e-05
0.15,0.00016171957460133277
0.2,0.0002856904376070471
0.25,0.0004435705176635487
0.3,0.0006346924808642938
0.35,0.000858393284839115
0.39999999999999997,0.0011140141787542213
0.44999999999999996,0.001400900703312199
0.49999999999999994,0.001718402690752009
0.5499999999999999,0.0020658742648489905
0.6,0.0024426738409148593
0.65,0.0028481641257977063
0.7,0.0032817121178819984
0.75,0.003742689107088582
0.7999999999999999,0.004230470674874676
0.85,0.004744436694233882
0.9,0.005283971329696169
0.95,0.005848463037327891
1.0,0.006437304564731772
1.0499999999999998,0.007049892951046915
1.0999999999999999,0.007685629526948808
1.15,0.008343919914649297
1.2,0.009024174027896624
1.25,0.009725806071975391
1.3,0.010448234543706586
1.3499999999999999,0.01119088223144757
1.4,0.011953176215092088
1.45,0.012734547866070253
1.5,0.013534432847348551
1.5499999999999998,0.01435227111342985
1.5999999999999999,0.01518750691035341
1.65,0.016039588775694835
1.7,0.016907969538566135
1.75,0.017792106319615676
1.7999999999999998,0.018691460531028204
1.8499999999999999,0.019605497876524863
1.9,0.020533688351363148
1.95,0.02147550624233694
1.9999999999999998,0.02243043012777648
2.05,0.023397942877548428
2.0999999999999996,0.024377531653055774
2.1499999999999995,0.02536868790723792
2.1999999999999997,0.02637090738457062
2.2499999999999996,0.027383690121066007
2.3,0.028406540444272606
2.3499999999999996,0.02943896697327531
2.3999999999999995,0.030480482618695383
2.4499999999999997,0.03153060458269047
2.4999999999999996,0.03258885435895459
2.55,0.033654757732718144
2.5999999999999996,0.03472784478074791
2.6499999999999995,0.03580764987134704
2.6999999999999997,0.03689371166435506
2.7499999999999996,0.037985573111147856
2.7999999999999994,0.03908278145463774
2.8499999999999996,0.04018488822927336
2.8999999999999995,0.041291449261039725
2.9499999999999997,0.04240202466745827
2.9999999999999996,0.043516178857586775
3.0499999999999994,0.0446334805320194
3.0999999999999996,0.045753502682886686
3.1499999999999995,0.04687582259385556
3.1999999999999997,0.0480000218401293
3.2499999999999996,0.04912568628844756
3.2999999999999994,0.05025240609708642
3.3499999999999996,0.0513797757158583
3.3999999999999995,0.05250739388611198
3.4499999999999997,0.05363486364073263
3.4999999999999996,0.0547617923041418
3.5499999999999994,0.055887791492297445
3.5999999999999996,0.05701247711269386
3.6499999999999995,0.05813546936436171
3.6999999999999997,0.05925639273786806
3.7499999999999996,0.06037487601531634
3.7999999999999994,0.061490552270346374
3.8499999999999996,0.06260305886813435
3.8999999999999995,0.0637120374653928
3.9499999999999993,0.06481713401037069
3.9999999999999996,0.06591799874285334
4.05,0.06701428619416243
4.1,0.06810565518715606
4.1499999999999995,0.06919176883622861
4.199999999999999,0.07027229454731093
4.249999999999999,0.07134690401787025
4.3,0.07241527323691016
4.35,0.07347708248497054
4.3999999999999995,0.07453201633412777
4.449999999999999,0.07557976364799451
4.499999999999999,0.0766200175817199
4.55,0.07765247558198937
4.6,0.07867683938702476
4.6499999999999995,0.07969281502658425
4.699999999999999,0.08070011282196245
4.749999999999999,0.08169844738599032
4.8,0.08268753762303523
4.85,0.08366710672900085
4.8999999999999995,0.08463688219132733
4.949999999999999,0.08559659578899105
4.999999999999999,0.08654598359250491
5.05,0.08748478596391818
5.1,0.08841274755681638
5.1499999999999995,0.08932961731632152
5.199999999999999,0.09023514847909193
5.249999999999999,0.09112909857332235
5.3,0.09201122941874394
5.35,0.09288130712662412
5.3999999999999995,0.09373910209976676
5.449999999999999,0.09458438903251205
5.499999999999999,0.09541694691073666
5.549999999999999,0.0962365590118536
5.6,0.09704301290481218
5.6499999999999995,0.09783610045009818
5.699999999999999,0.09861561779973366
5.749999999999999,0.09938136539727713
5.799999999999999,0.1001331479778235
5.85,0.10087077456800402
5.8999999999999995,0.10159405848598628
5.949999999999999,0.10230281734147423
5.999999999999999,0.10299687303570833
6.049999999999999,0.10367605176146533
6.1,0.1043401840030583
6.1499999999999995,0.10498910453633681
6.199999999999999,0.1056226524286867
6.249999999999999,0.10624067103903019
6.299999999999999,0.10684300801782601
6.35,0.10742951530706915
6.3999999999999995,0.10800004914029093
6.449999999999999,0.10855447004255915
6.499999999999999,0.10909264283047794
6.549999999999999,0.1096144366121879
6.6,0.11011972478736581
6.6499999999999995,0.11060838504722499
6.699999999999999,0.11108029937451508
6.749999999999999,0.11153535404352208
