source,E_MeV,spectrum_per_MeV,kind
pp,3.8400000000000003,0.0,continuum
pp,3.86,0.0,continuum
pp,3.88,0.0,continuum
pp,3.9,0.0,continuum
pp,3.92,0.0,continuum
pp,3.94,0.0,continuum
pp,3.96,0.0,continuum
pp,3.98,0.0,continuum
pp,4.0,0.0,continuum
pp,4.02,0.0,continuum
pp,4.04,0.0,continuum
pp,4.06,0.0,continuum
pp,4.08,0.0,continuum
pp,4.1,0.0,continuum
pp,4.119999999999999,0.0,continuum
pp,4.14,0.0,continuum
pp,4.159999999999999,0.0,continuum
pp,4.18,0.0,continuum
pp,4.199999999999999,0.0,continuum
pp,4.22,0.0,continuum
pp,4.239999999999999,0.0,continuum
pp,4.26,0.0,continuum
pp,4.279999999999999,0.0,continuum
pp,4.3,0.0,continuum
pp,4.319999999999999,0.0,continuum
pp,4.34,0.0,continuum
pp,4.359999999999999,0.0,continuum
pp,4.38,0.0,continuum
pp,4.3999999999999995,0.0,continuum
pp,4.42,0.0,continuum
pp,4.4399999999999995,0.0,continuum
pp,4.46,0.0,continuum
pp,4.4799999999999995,0.0,continuum
pp,4.5,0.0,continuum
pp,4.52,0.0,continuum
pp,4.54,0.0,continuum
pp,4.56,0.0,continuum
pp,4.58,0.0,continuum
pp,4.6,0.0,continuum
pp,4.62,0.0,continuum
pp,4.64,0.0,continuum
pp,4.659999999999999,0.0,continuum
pp,4.68,0.0,continuum
pp,4.699999999999999,0.0,continuum
pp,4.72,0.0,continuum
pp,4.739999999999999,0.0,continuum
pp,4.76,0.0,continuum
pp,4.779999999999999,0.0,continuum
pp,4.8,0.0,continuum
pp,4.819999999999999,0.0,continuum
pp,4.84,0.0,continuum
pp,4.859999999999999,0.0,continuum
pp,4.88,0.0,continuum
pp,4.8999999999999995,0.0,continuum
pp,4.92,0.0,continuum
pp,4.9399999999999995,0.0,continuum
pp,4.96,0.0,continuum
pp,4.9799999999999995,0.0,continuum
pp,5.0,0.0,continuum
pp,5.02,0.0,continuum
pp,5.04,0.0,continuum
pp,5.06,0.0,continuum
pp,5.08,0.0,continuum
pp,5.1,0.0,continuum
pp,5.12,0.0,continuum
pp,5.14,0.0,continuum
pp,5.159999999999999,0.0,continuum
pp,5.18,0.0,continuum
pp,5.199999999999999,0.0,continuum
pp,5.22,0.0,continuum
pp,5.239999999999999,0.0,continuum
pp,5.26,0.0,continuum
pp,5.279999999999999,0.0,continuum
pp,5.3,0.0,continuum
pp,5.319999999999999,0.0,continuum
pp,5.34,0.0,continuum
pp,5.359999999999999,0.0,continuum
pp,5.38,0.0,continuum
pp,5.3999999999999995,0.0,continuum
pp,5.42,0.0,continuum
pp,5.4399999999999995,0.0,continuum
pp,5.46,0.0,continuum
pp,5.4799999999999995,0.0,continuum
pp,5.5,0.0,continuum
pp,5.52,0.0,continuum
pp,5.54,0.0,continuum
pp,5.56,0.0,continuum
pp,5.58,0.0,continuum
pp,5.6,0.0,continuum
pp,5.62,0.0,continuum
pp,5.64,0.0,continuum
pp,5.659999999999999,0.0,continuum
pp,5.68,0.0,continuum
pp,5.699999999999999,0.0,continuum
pp,5.72,0.0,continuum
pp,5.739999999999999,0.0,continuum
pp,5.76,0.0,continuum
pp,5.779999999999999,0.0,continuum
pp,5.8,0.0,continuum
pp,5.819999999999999,0.0,continuum
pp,5.84,0.0,continuum
pp,5.859999999999999,0.0,continuum
pp,5.88,0.0,continuum
pp,5.8999999999999995,0.0,continuum
pp,5.92,0.0,continuum
pp,5.9399999999999995,0.0,continuum
pp,5.96,0.0,continuum
pp,5.9799999999999995,0.0,continuum
pp,6.0,0.0,continuum
pp,6.02,0.0,continuum
pp,6.04,0.0,continuum
pp,6.06,0.0,continuum
pp,6.08,0.0,continuum
pp,6.1,0.0,continuum
pp,6.12,0.0,continuum
pp,6.14,0.0,continuum
pp,6.16,0.0,continuum
pp,6.18,0.0,continuum
pp,6.199999999999999,0.0,continuum
pp,6.22,0.0,continuum
pp,6.239999999999999,0.0,continuum
pp,6.26,0.0,continuum
pp,6.279999999999999,0.0,continuum
pp,6.3,0.0,continuum
pp,6.319999999999999,0.0,continuum
pp,6.34,0.0,continuum
pp,6.359999999999999,0.0,continuum
pp,6.38,0.0,continuum
pp,6.3999999999999995,0.0,continuum
pp,6.42,0.0,continuum
pp,6.4399999999999995,0.0,continuum
pp,6.46,0.0,continuum
pp,6.4799999999999995,0.0,continuum
pp,6.5,0.0,continuum
pp,6.52,0.0,continuum
pp,6.54,0.0,continuum
pp,6.56,0.0,continuum
pp,6.58,0.0,continuum
pp,6.6,0.0,continuum
pp,6.62,0.0,continuum
pp,6.64,0.0,continuum
pp,6.66,0.0,continuum
pp,6.68,0.0,continuum
pp,6.699999999999999,0.0,continuum
pp,6.72,0.0,continuum
pp,6.739999999999999,0.0,continuum
pp,6.76,0.0,continuum
pp,6.779999999999999,0.0,continuum
pp,6.8,0.0,continuum
pp,6.819999999999999,0.0,continuum
pp,6.84,0.0,continuum
pp,6.859999999999999,0.0,continuum
pp,6.88,0.0,continuum
pp,6.8999999999999995,0.0,continuum
pp,6.92,0.0,continuum
pp,6.9399999999999995,0.0,continuum
pp,6.96,0.0,continuum
pp,6.9799999999999995,0.0,continuum
pp,7.0,0.0,continuum
pp,7.02,0.0,continuum
pp,7.04,0.0,continuum
pp,7.06,0.0,continuum
pp,7.08,0.0,continuum
pp,7.1,0.0,continuum
pp,7.12,0.0,continuum
pp,7.14,0.0,continuum
pp,7.16,0.0,continuum
pp,7.18,0.0,continuum
pp,7.199999999999999,0.0,continuum
pp,7.22,0.0,continuum
