E_MeV,Pee_vacuum,Pee_day,Pee_night_reference,delta_Pee_earth_reference,sin2theta12_reference,dm21_eV2_reference
0.05,0.54955050971648,0.547932295224204,0.5479606722041537,2.8376979949729098e-05,0.307,7.42e-05
0.1,0.54955050971648,0.5462951299568997,0.5463527615689033,5.7631612003672394e-05,0.307,7.42e-05
0.15000000000000002,0.54955050971648,0.544639173211317,0.5447269465181723,8.777330685527662e-05,0.307,7.42e-05
0.2,0.54955050971648,0.5429646048296031,0.5430834160528296,0.0001188112232265448,0.307,7.42e-05
0.25,0.54955050971648,0.5412716256134517,0.5414223798706572,0.00015075425720556535,0.307,7.42e-05
0.3,0.54955050971648,0.5395604577004158,0.5397440687319968,0.0001836110315809325,0.307,7.42e-05
0.35000000000000003,0.54955050971648,0.5378313448990759,0.5380487347842612,0.0002173898851852707,0.307,7.42e-05
0.4,0.54955050971648,0.536084552979783,0.536336651842036,0.00025209886225308065,0.307,7.42e-05
0.45,0.54955050971648,0.5343203699177671,0.534608115619574,0.0002877457018068963,0.307,7.42e-05
0.5,0.54955050971648,0.5325391060854756,0.5328634439125541,0.00032433782707852465,0.307,7.42e-05
0.55,0.54955050971648,0.5307410943911249,0.5311029767261006,0.0003618823349756939,0.307,7.42e-05
0.6000000000000001,0.54955050971648,0.5289266903605904,0.5293270763461961,0.00040038598560576677,0.307,7.42e-05
0.6500000000000001,0.54955050971648,0.5270962721599234,0.5275361273517876,0.0004398551918641802,0.307,7.42e-05
0.7000000000000001,0.54955050971648,0.5252502405559946,0.5257305365650948,0.00048029600910026726,0.307,7.42e-05
0.7500000000000001,0.54955050971648,0.5233890188129767,0.5239107329378453,0.0005217141248685664,0.307,7.42e-05
0.8,0.54955050971648,0.5215130525226489,0.522077167371427,0.0005641148487780523,0.307,7.42e-05
0.8500000000000001,0.54955050971648,0.5196228093667814,0.5202303124692294,0.0006075031024479483,0.307,7.42e-05
0.9000000000000001,0.54955050971648,0.5177187788101739,0.5183706622197558,0.0006518834095818882,0.307,7.42e-05
0.9500000000000001,0.54955050971648,0.5158014717232543,0.5164987316094253,0.0006972598861709756,0.307,7.42e-05
1.0,0.54955050971648,0.5138714199335075,0.5146150561643433,0.0007436362308358424,0.307,7.42e-05
1.05,0.54955050971648,0.5119291757053808,0.5127201914206994,0.0007910157153185882,0.307,7.42e-05
