r_over_Rsun,ne_cm3,ne_over_ne0
0.0,6e+25,1.0
0.002,5.882269167717731e+25,0.9803781946196218
0.004,5.766949577850192e+25,0.961158262975032
0.006,5.653991233876791e+25,0.9423318723127985
0.008,5.543345179489118e+25,0.9238908632481863
0.01,5.434963476928302e+25,0.905827246154717
0.012,5.328799185773626e+25,0.8881331976289377
0.014,5.224806342172974e+25,0.870801057028829
0.016,5.122939938505925e+25,0.8538233230843209
0.018000000000000002,5.023155903470468e+25,0.8371926505784113
0.02,4.925411082584534e+25,0.8209018470974223
0.022,4.829663219093663e+25,0.8049438698489438
0.024,4.735870935276401e+25,0.7893118225460668
0.026000000000000002,4.643993714139086e+25,0.7739989523565143
0.028,4.553991881491957e+25,0.7589986469153263
0.03,4.465826588398607e+25,0.7443044313997679
0.032,4.379459793991024e+25,0.7299099656651706
0.034,4.294854248642608e+25,0.7158090414404347
0.036000000000000004,4.211973477491674e+25,0.7019955795819457
0.038,4.1307817643081846e+25,0.6884636273846975
0.04,4.051244135696524e+25,0.6752073559494206
0.042,3.973326345627338e+25,0.6622210576045563
0.044,3.896994860291576e+25,0.6494991433819294
0.046,3.8222168432700123e+25,0.637036140545002
0.048,3.7489601410116967e+25,0.6248266901686161
0.05,3.6771932686148863e+25,0.6128655447691477
0.052000000000000005,3.606885395904144e+25,0.601147565984024
0.054,3.5380063337974715e+25,0.5896677222995785
0.056,3.470526520957387e+25,0.5784210868262312
0.058,3.404417010720078e+25,0.567402835120013
0.06,3.3396494582968005e+25,0.5566082430494668
0.062,3.2761961082418763e+25,0.5460326847069794
0.064,3.2140297821817227e+25,0.5356716303636204
0.066,3.1531238667994834e+25,0.5255206444665805
0.068,3.0934523020699315e+25,0.5155753836783219
0.07,3.0349895697394324e+25,0.505831594956572
0.07200000000000001,2.9777106820458625e+25,0.4962851136743104
0.074,2.9215911706734876e+25,0.4869318617789146
0.076,2.8666070759378953e+25,0.4777678459896492
0.078,2.812734936196206e+25,0.468789156032701
0.08,2.7599517774778552e+25,0.45999196291297584
0.082,2.7082351033313584e+25,0.45137251722189303
0.084,2.6575628848825592e+25,0.44292714748042655
0.08600000000000001,2.607913551099955e+25,0.4346522585166591
0.088,2.559265979262782e+25,0.4265443298771303
0.09,2.5115994856276456e+25,0.41859991427127424
0.092,2.4648938162895495e+25,0.41081563604825827
0.094,2.4191291382332816e+25,0.40318818970554693
0.096,2.3742860305711833e+25,0.39571433842853054
0.098,2.330345475963433e+25,0.3883909126605722
0.1,2.2872888522170236e+25,0.38121480870283725
0.10200000000000001,2.2450979240597276e+25,0.3741829873432879
0.10400000000000001,2.203754835085397e+25,0.3672924725142328
0.106,2.1632420998670273e+25,0.3605403499778379
0.108,2.1235425962340975e+25,0.35392376603901626
0.11,2.0846395577107555e+25,0.34743992628512593
0.112,2.0465165661115065e+25,0.3410860943519177
0.114,2.0091575442911207e+25,0.3348595907151868
0.116,1.9725467490455373e+25,0.32875779150758955
0.11800000000000001,1.936668764160644e+25,0.32277812736010736
0.12,1.901508493605822e+25,0.316918082267637
0.122,1.8670511548692635e+25,0.31117519247821057
0.124,1.8332822724320954e+25,0.3055470454053492
0.126,1.8001876713784283e+25,0.3000312785630714
0.128,1.7677534711384847e+25,0.2946255785230808
0.13,1.7359660793620516e+25,0.28932767989367525
0.132,1.7048121859195252e+25,0.28413536431992087
0.134,1.6742787570279081e+25,0.27904645950465135
0.136,1.6443530294991366e+25,0.2740588382498561
0.138,1.6150225051082083e+25,0.2691704175180347
0.14,1.5862749450785986e+25,0.26437915751309976
0.14200000000000002,1.5580983646825358e+25,0.25968306078042264
0.14400000000000002,1.530481027953734e+25,0.25508017132562233
0.146,1.503411442510242e+25,0.250568573751707
0.148,1.4768783544851182e+25,0.24614639241418637
0.15,1.450870743562684e+25,0.24181179059378066
0.152,1.4253778181181535e+25,0.23756296968635893
0.154,1.4003890104584874e+25,0.2333981684097479
0.156,1.3758939721623662e+25,0.22931566202706102
0.158,1.3518825695172132e+25,0.2253137615862022
0.16,1.3283448790512483e+25,0.22139081317520806
0.162,1.3052711831585886e+25,0.21754519719309812
0.164,1.2826519658154686e+25,0.21377532763591145
0.166,1.2604779083856665e+25,0.2100796513976111
0.168,1.2387398855132918e+25,0.20645664758554863
0.17,1.2174289611011055e+25,0.20290482685018424
0.17200000000000001,1.1965363843725963e+25,0.19942273072876604
0.17400000000000002,1.1760535860160674e+25,0.19600893100267788
0.176,1.1559721744090225e+25,0.19266202906817043
0.178,1.1362839319211795e+25,0.18938065532019657
0.18,1.1169808112944801e+25,0.18616346854908003
0.182,1.0980549320984804e+25,0.18300915534974674
0.184,1.0794985772595606e+25,0.1799164295432601
0.186,1.0613041896624147e+25,0.17688403161040245
0.188,1.0434643688223113e+25,0.17391072813705188
0.19,1.0259718676266558e+25,0.17099531127110928
0.192,1.0088195891444057e+25,0.1681365981907343
0.194,9.920005835019304e+24,0.16533343058365507
0.196,9.755080448239277e+24,0.16258467413732128
0.198,9.593353082380431e+24,0.15988921803967385
0.2,9.434758469418663e+24,0.15724597449031105
0.202,9.279232693310025e+24,0.15465387822183374
0.20400000000000001,9.126713161869503e+24,0.15211188603115838
0.20600000000000002,8.977138579235373e+24,0.14961897632058954
0.20800000000000002,8.830448918906931e+24,0.14717414864844885
0.21,8.686585397343703e+24,0.1447764232890617
0.212,8.545490448114359e+24,0.14242484080190598
0.214,8.407107696583977e+24,0.14011846160973296
0.216,8.271381935128359e+24,0.13785636558547265
0.218,8.138259098864458e+24,0.13563765164774097
0.22,8.007686241886171e+24,0.1334614373647695
0.222,7.879611513994958e+24,0.13132685856658263
0.224,7.75398413791499e+24,0.12923306896524983
0.226,7.630754386982714e+24,0.12717923978304524
0.228,7.509873563300972e+24,0.12516455938834953
0.23,7.391293976348e+24,0.12318823293913334
0.232,7.274968922031818e+24,0.12124948203386363
0.234,7.160852662180735e+24,0.11934754436967893
0.23600000000000002,7.048900404460894e+24,0.11748167340768158
0.23800000000000002,6.93906828271196e+24,0.11565113804519933
0.24,6.831313337692233e+24,0.11385522229487054
0.242,6.725593498224661e+24,0.11209322497041102
0.244,6.621867562735426e+24,0.11036445937892377
0.246,6.520095181176875e+24,0.10866825301961458
0.248,6.420236837326839e+24,0.10700394728878065
0.25,6.322253831456483e+24,0.10537089719094138
0.252,6.226108263358997e+24,0.10376847105598329
0.254,6.131763015731637e+24,0.10219605026219394
0.256,6.039181737903731e+24,0.10065302896506219
0.258,5.948328829903479e+24,0.09913881383172465
0.26,5.859169426856434e+24,0.09765282378094058
0.262,5.77166938370882e+24,0.09619448972848033
0.264,5.685795260268869e+24,0.09476325433781449
0.266,5.601514306559595e+24,0.09335857177599326
0.268,5.518794448476473e+24,0.0919799074746079
0.27,5.437604273743716e+24,0.0906267378957286
0.272,5.3579130181629e+24,0.089298550302715
0.274,5.279690552147869e+24,0.08799484253579783
0.276,5.202907367539939e+24,0.08671512279233232
0.278,5.12753456469757e+24,0.08545890941162616
0.28,5.053543839854805e+24,0.08422573066424674
0.28200000000000003,4.980907472742837e+24,0.08301512454571394
0.28400000000000003,4.909598314469282e+24,0.08182663857448802
0.28600000000000003,4.83958977564973e+24,0.08065982959416217
0.28800000000000003,4.770855814786376e+24,0.07951426357977293
0.29,4.703370926888516e+24,0.07838951544814193
0.292,4.637110132329958e+24,0.07728516887216597
0.294,4.5720489659383426e+24,0.07620081609897238
0.296,4.5081634663115594e+24,0.07513605777185932
0.298,4.4454301653565586e+24,0.07409050275594264
0.3,4.383826078045886e+24,0.07306376796743143
0.302,4.3233286923874397e+24,0.07205547820645733
0.304,4.2639159596029784e+24,0.07106526599338298
0.306,4.205566284511065e+24,0.07009277140851775
0.308,4.1482585161101507e+24,0.06913764193516918
0.31,4.091971938357676e+24,0.06819953230596126
0.312,4.0366862611410586e+24,0.06727810435235097
0.314,3.982381611436607e+24,0.06637302685727678
0.316,3.929038524652431e+24,0.06548397541087385
0.318,3.8766379361515226e+24,0.06461063226919204
0.32,3.825161172951247e+24,0.06375268621585412
0.322,3.77458994559557e+24,0.06290983242659283
0.324,3.7249063401964475e+24,0.06208177233660746
0.326,3.6760928106408176e+24,0.06126821351068029
0.328,3.628132170959767e+24,0.060468869515996115
0.33,3.5810075878565e+24,0.059683459797608335
0.332,3.534702573389783e+24,0.05891170955649638
0.334,3.48920097780965e+24,0.05815334963016083
0.336,3.4444869825421726e+24,0.057408116375702874
0.338,3.4005450933202147e+24,0.05667575155533691
0.34,3.3573601334571157e+24,0.05595600222428526
0.342,3.314917237260325e+24,0.05524862062100542
0.34400000000000003,3.273201843582091e+24,0.05455336405970152
0.34600000000000003,3.2321996895043253e+24,0.053869994825072084
0.34800000000000003,3.1918968041548675e+24,0.05319828006924779
0.35000000000000003,3.152279502652404e+24,0.0525379917108734
0.352,3.113334380177368e+24,0.05188890633628947
0.354,3.0750483061661864e+24,0.051250805102769775
0.356,3.0374084186263216e+24,0.050623473643772024
0.358,3.000402118569578e+24,0.05000670197615963
0.36,2.964017064561214e+24,0.04940028440935357
0.362,2.928241167382454e+24,0.048804019456374234
0.364,2.89306258480403e+24,0.04821770974673383
0.366,2.8584697164684487e+24,0.04764116194114081
0.368,2.8244511988787163e+24,0.047074186647978605
0.37,2.7909959004912985e+24,0.046516598341521644
0.372,2.758092916911158e+24,0.04596821528185263
0.374,2.7257315661867343e+24,0.04542885943644557
0.376,2.693901384202784e+24,0.04489835640337973
0.378,2.662592120169049e+24,0.04437653533615082
0.38,2.63179373220276e+24,0.043863228870046
0.382,2.601496383003002e+24,0.043358273050050036
0.384,2.5716904356150604e+24,0.04286150726025101
0.386,2.542366449282843e+24,0.04237277415471404
0.388,2.513515175387567e+24,0.041891919589792784
0.39,2.4851275534709023e+24,0.041418792557848375
0.392,2.4571947073408096e+24,0.040953245122346826
0.394,2.4297079412583684e+24,0.040495132354306136
0.396,2.4026587362038898e+24,0.04004431227006483
0.398,2.3760387462206733e+24,0.039600645770344556
0.4,2.3498397948347887e+24,0.03916399658057981
0.402,2.324053871549298e+24,0.0387342311924883
0.404,2.2986731284113734e+24,0.03831121880685622
0.406,2.2736898766507852e+24,0.037894831277513086
0.40800000000000003,2.2490965833882814e+24,0.037484943056471355
