T_e_MeV,epsilon_sk_like,background_sk_shape
0.0,2.607430082116e-06,1.0
0.05,3.007838864996771e-06,1.0
0.1,3.4697360222785396e-06,1.0
0.15000000000000002,4.002563884141027e-06,1.0
0.2,4.617214748588344e-06,1.0
0.25,5.326253531344492e-06,1.0
0.30000000000000004,6.144174602214707e-06,1.0
0.35000000000000003,7.087698056181707e-06,1.0
0.4,8.176111472935157e-06,1.0
0.45,9.431664147475434e-06,1.0
0.5,1.0880021845800016e-05,1.0
0.55,1.2550791375265962e-05,1.0
0.6000000000000001,1.447812568414587e-05,1.0
0.65,1.670142184809515e-05,1.0
0.7000000000000001,1.926612619606933e-05,1.0
0.75,2.222466301307208e-05,1.0
0.8,2.5637505776200657e-05,1.0
0.8500000000000001,2.957441278468978e-05,1.0
0.9,3.411585239262723e-05,1.0
0.9500000000000001,3.935464691212066e-05,1.0
1.0,4.5397868702434395e-05,1.0
1.05,5.236902708607075e-05,1.0
1.1,6.041059063825212e-05,1.0
1.1500000000000001,6.968689619923178e-05,1.0
1.2000000000000002,8.038750379403455e-05,1.0
1.25,9.273106566599662e-05,1.0
1.3,0.00010696978801555737,1.0
1.35,0.00012339457598623172,1.0
1.4000000000000001,0.00014234096618622824,1.0
1.4500000000000002,0.00016419596683970396,1.0
1.5,0.00018940594382518605,1.0
1.55,0.0002184857117195633,1.0
1.6,0.00025202901290818225,1.0
1.6500000000000001,0.0002907205952778838,1.0
1.7000000000000002,0.0003353501304664781,1.0
1.75,0.0003868282506424965,1.0
1.8,0.00044620502293652266,1.0
1.85,0.0005146912276053646,1.0
1.9000000000000001,0.0005936828595093569,1.0
1.9500000000000002,0.0006847893333053523,1.0
2.0,0.0007898659417364615,1.0
2.0500000000000003,0.0009110511944006454,1.0
2.1,0.0010508097522784878,1.0
2.15,0.0012119817719400566,1.0
2.2,0.001397839583488873,1.0
2.25,0.0016121527485262934,1.0
2.3000000000000003,0.001859262679037396,1.0
2.35,0.0021441681449728576,1.0
2.4000000000000004,0.0024726231566347765,1.0
2.45,0.002851248876019337,1.0
